1669,4669991,2333054,2669,
2669,4669985,2336387,2452,
2452,4669987,2348120,10908,
10908,4670020,2322241,9854,
9854,4669941,2341624,3797,
3797,4669978,2330869,966,
966,4669996,2347071,10471,
10471,4670022,2338338,622,
622,4669998,2332534,7171,
7171,4669958,2354626,6034,
6034,4669965,2333735,4381,
4381,4669975,2341034,7940,
7940,4669953,2338144,5208,
5208,4669970,2328793,6364,
6364,4669963,2340227,5604,
5604,4669968,2332982,9543,
9543,4669943,2335533,2930,
2930,4669984,2343521,13522,
13522,4670003,2341367,6382,
6382,4669963,2333988,6835,
6835,4669960,2327829,5432,
5432,4669969,2345622,9779,
9779,4669942,2340759,10949,
10949,4670020,2326515,13258,
13258,4670005,2339232,11870,
11870,4670013,2335136,2635,
2635,4669986,2328267,12721,
12721,4670008,2344947,7845,
7845,4669954,2345607,8777,
8777,4669948,2338798,4962,
4962,4669971,2329201,1267,
1267,4669994,2337502,8743,
8743,4669948,2346287,2080,
2080,4669989,2339217,7799,
7799,4669954,2329464,5229,
5229,4669970,2324987,8154,
8154,4669952,2337916,10025,
10025,4670025,2324153,4367,
4367,4669975,2325788,6964,
6964,4669959,2334260,3708,
3708,4669979,2348782,7238,
7238,4669958,2350368,11593,
11593,4670015,2336241,4680,
4680,4669973,2325345,3729,
3729,4669979,2340903,9216,
9216,4669946,2329177,13657,
13657,4670002,2351358,4043,
4043,4669977,2321626,6870,
6870,4669960,2333352,8413,
8413,4669950,2329837,4180,
4180,4669976,2352914,5081,
5081,4669971,2334690,8679,
8679,4669949,2348008,10956,
10956,4670019,2332421,144,
144,4670001,2332225,9061,
9061,4669946,2341430,1479,
1479,4669993,2333725,13507,
13507,4670003,2344152,5516,
5516,4669968,2326997,1671,
1671,4669991,2344293,2768,
2768,4669985,2337060,10932,
10932,4670020,2333146,11941,
11941,4670013,2332616,9094,
9094,4669946,2340273,3944,
3944,4669977,2334088,147,
147,4670001,2336862,9281,
9281,4669945,2330778,7038,
7038,4669959,2329946,9620,
9620,4669943,2329668,9920,
9920,4669941,2337217,8094,
8094,4669952,2335829,4434,
4434,4669975,2335185,12544,
12544,4670009,2330145,4940,
4940,4669972,2331367,13075,
13075,4670006,2320356,10233,
10233,4670024,2325027,8449,
8449,4669950,2338364,6337,
6337,4669963,2327636,4171,
4171,4669976,2326015,4620,
4620,4669974,2349544,12760,
12760,4670008,2330304,11150,
11150,4670018,2341764,4812,
4812,4669972,2331649,1788,
1788,4669991,2335866,12802,
12802,4670007,2329805,457,
457,4669999,2332957,6314,
6314,4669963,2337042,1794,
1794,4669991,2321528,13628,
13628,4670002,2339905,1901,
1901,4669990,2331480,7421,
7421,4669957,2332369,13396,
13396,4670004,2328183,8266,
8266,4669951,2342206,4627,
4627,4669974,2336178,13368,
13368,4670004,2335292,6212,
6212,4669964,2333511,5164,
5164,4669970,2342431,1722,
1722,4669991,2336608,6985,
6985,4669959,2323991,6064,
6064,4669965,2349179,6599,
6599,4669961,2340387,400,
400,4669999,2333857,1420,
1420,4669993,2341520,9296,
9296,4669945,2336812,8355,
8355,4669951,2327917,12483,
12483,4670010,2337435,13570,
13570,4670003,2326396,9805,
9805,4669942,2331795,13056,
13056,4670006,2337292,8968,
8968,4669947,2330366,6837,
6837,4669960,2337220,5716,
5716,4669967,2331986,4670,
4670,4669973,2325983,2761,
2761,4669985,2331504,10233,
350248338 18679863
lo=1669
-32
